Title,SJR,SJR Best Quartile,H index,Total Docs. (2024),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,%Female,APC (USD),Aging,Cancer Research,Cardiology and Cardiovascular Medicine,Community and Home Care,Complementary and Alternative Medicine,Critical Care and Intensive Care Medicine,Endocrinology,"Endocrinology, Diabetes and Metabolism",Gastroenterology,Geriatrics and Gerontology,Gerontology,Health Policy,Hematology,Hepatology,Immunology,Immunology and Allergy,Immunology and Microbiology,Infectious Diseases,Internal Medicine,Medicine,Nephrology,Oncology,Parasitology,Pulmonary and Respiratory Medicine,Reproductive Medicine,Respiratory Care,Rheumatology
Journal of Reproduction and Infertility,0.382,Q3,37,31,126,1021,168,111,1.3,32.94,66.67,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Veterinary Clinics of North America - Exotic Animal Practice,0.382,Q3,49,50,125,2554,144,107,1.27,51.08,63.08,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Current Hepatology Reports,0.381,Q3,20,46,67,3199,66,66,1.02,69.54,35.43,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Law International,0.381,Q3,15,8,49,0,86,38,1.78,0,80,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Monash Bioethics Review,0.381,Q3,20,36,58,2107,81,53,1.68,58.53,59.52,2692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clinical and Translational Metabolism,0.38,Q3,32,13,11,720,21,11,2.5,55.38,56.41,2785,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ochsner Journal,0.38,Q3,52,60,215,1373,278,178,1.22,22.88,35.09,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Parasitologia,0.38,Q3,7,36,89,2004,132,87,1.48,55.67,39.61,2785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Geospatial Health,0.379,Q3,44,35,155,1375,176,153,0.99,39.29,37.32,2852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Japanese Journal of Infectious Diseases,0.379,Q3,62,58,284,1513,312,280,1.09,26.09,36.18,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Journal of Electrocardiology,0.379,Q3,71,153,491,3414,573,455,1.21,22.31,27.27,2849,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",0.379,Q3,177,301,844,11015,1326,832,1.6,36.59,27.99,2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Zoo and Wildlife Medicine,0.379,Q3,56,154,388,2861,349,388,0.75,18.58,60.16,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Psychological Studies,0.379,Q3,21,64,151,3524,229,148,1.59,55.06,59.57,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal for Nurses in Professional Development,0.378,Q3,25,103,318,1442,283,290,0.85,14,86.97,2776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Obesities,0.378,Q3,7,41,75,2238,100,73,1.38,54.59,59.47,2782,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anemia,0.377,Q3,35,8,31,367,76,31,2.24,45.88,38.1,3007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Bioethics,0.377,Q3,12,19,59,991,33,59,0.77,52.16,21.05,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Current Aging Science,0.377,Q4,45,29,83,1680,139,78,1.68,57.93,49.55,2860,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diagnostic Cytopathology,0.377,Q3,75,163,619,3525,704,560,1.08,21.63,52.06,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Health Systems,0.377,Q3,22,35,75,2019,151,73,1.81,57.69,37.27,2882,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biomedical Physics and Engineering Express,0.376,Q3,32,285,515,12131,930,511,1.77,42.56,28.36,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,0.376,Q3,29,96,354,4221,742,350,1.96,43.97,31.58,2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Indian Journal of Endocrinology and Metabolism,0.376,Q3,47,104,289,3169,309,214,0.77,30.47,36.13,2816,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recent patents on food, nutrition & agriculture",0.376,Q3,36,0,14,0,33,13,0,0,0,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sarcoidosis Vasculitis and Diffuse Lung Diseases,0.376,Q3,66,61,129,1527,170,110,1.41,25.03,40.74,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
Saudi Journal of Medicine and Medical Sciences,0.376,Q3,12,41,135,1264,203,124,1.58,30.83,40.53,2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
International Journal of Mental Health Promotion,0.375,Q3,16,91,211,5291,325,211,1.6,58.14,48.3,2692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Respiratory Medicine: X,0.375,Q3,8,0,3,0,9,3,0,0,0,2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Hematology Reports,0.374,Q3,19,77,146,3086,173,143,1.21,40.08,48.18,2638,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Journal of Care and Caring,0.374,Q3,17,47,132,1850,163,120,1.15,39.36,83.62,2713,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes",0.374,Q3,65,67,270,3300,512,270,1.94,49.25,42.33,2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clinical and Experimental Neuroimmunology,0.373,Q3,23,42,134,1544,99,108,0.94,36.76,28.16,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Gastroenterologia y Hepatologia,0.373,Q3,35,171,480,4945,467,449,0.91,28.92,50.81,2634,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global Health, Epidemiology and Genomics",0.373,Q3,18,9,25,336,43,25,1.91,37.33,47.62,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Ayurveda and Integrative Medicine,0.373,Q2,42,151,413,5329,812,371,1.93,35.29,43.28,2819,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medical Dosimetry,0.373,Q3,48,62,191,1586,229,187,0.97,25.58,30.95,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NASN School Nurses,0.373,Q3,17,57,181,787,138,136,0.66,13.81,88.41,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sovremennye Tehnologii v Medicine,0.373,Q3,18,43,149,1771,261,148,1.39,41.19,54.69,2537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annals of Thoracic and Cardiovascular Surgery,0.372,Q3,49,66,169,1254,227,166,1.35,19,17.05,2870,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Biopreservation and Biobanking,0.372,Q3,46,102,247,3607,332,217,1.4,35.36,51.47,2892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Education for Health: Change in Learning and Practice,0.372,Q3,42,0,89,0,74,52,0.64,0,0,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Medicine, Conflict and Survival",0.371,Q3,25,36,99,1076,81,43,0.67,29.89,44.64,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
African Health Sciences,0.37,Q3,63,188,902,5973,1030,882,0.89,31.77,42.71,2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
European Burn Journal,0.37,Q3,7,40,104,1607,128,99,1.23,40.18,46.77,2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hepatic Oncology,0.37,Q3,3,4,6,181,7,6,1.17,45.25,29.41,2602,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Homeopathy,0.37,Q2,44,22,144,790,118,125,0.81,35.91,57.14,2754,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medical Mycology Case Reports,0.37,Q3,25,69,155,1160,213,152,1.34,16.81,46.08,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Current Geriatrics Reports,0.369,Q4,23,22,55,1496,87,55,0.94,68,63.08,2712,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ear, Nose and Throat Journal",0.369,Q3,56,746,1576,14374,1571,1336,0.84,19.27,36.53,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hepatology Forum,0.369,Q3,10,40,86,1273,163,75,2.12,31.83,30.99,2696,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Herz,0.369,Q3,58,70,261,2059,267,240,0.9,29.41,29.56,2777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
New Microbiologica,0.369,Q3,48,54,146,1572,182,146,1.21,29.11,55.99,2876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Radiological Physics and Technology,0.369,Q3,30,97,148,2741,242,141,1.49,28.26,16.71,2788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AsiaIntervention,0.368,Q3,7,39,96,661,75,59,0.81,16.95,17.51,2690,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Psychiatry International,0.368,Q3,9,70,99,4747,122,94,1.21,67.81,51.01,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annali di Igiene Medicina Preventiva e di Comunita,0.367,Q3,32,62,192,2644,254,174,1.31,42.65,52.02,2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Archives of Iranian Medicine,0.367,Q3,63,107,369,3557,406,340,0.9,33.24,43.46,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clinical Nephrology,0.367,Q3,83,86,308,2284,271,262,0.9,26.56,42.42,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Hepatoma Research,0.367,Q3,16,24,168,1212,180,152,1.11,50.5,42.11,2798,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Journal of Innovations in Cardiac Rhythm Management,0.367,Q3,10,78,283,1196,190,194,0.63,15.33,24.24,2812,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Turkish Journal of Haematology,0.367,Q3,25,62,199,985,143,84,0.79,15.89,44.51,2768,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wounds,0.367,Q3,52,70,280,517,277,254,0.91,7.39,45.57,2751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Current Medical Mycology,0.366,Q3,18,1,106,28,200,106,1.55,28,100,2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Indian Journal of Medical Microbiology,0.366,Q3,59,180,435,3716,573,385,1.18,20.64,52.7,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Journal of Clinical Ultrasound,0.366,Q3,69,246,665,5965,675,507,0.99,24.25,40.76,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Comparative Pathology,0.366,Q3,84,69,257,2227,274,252,1.01,32.28,50.68,2784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medical Science Monitor Basic Research,0.366,Q3,29,7,32,0,61,32,2.06,0,41.18,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Progress in Community Health Partnerships: Research, Education, and Action",0.366,Q3,35,62,216,1479,139,169,0.51,23.85,77.96,2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Infection Prevention,0.365,Q3,26,40,125,893,144,109,1.03,22.33,62.63,2753,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Journal of Vector Borne Diseases,0.365,Q3,49,83,177,3138,200,173,1.17,37.81,36.24,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Mathematical Medicine and Biology,0.365,Q3,51,17,56,916,66,56,1.52,53.88,18.87,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Reumatismo,0.365,Q3,31,40,96,1347,98,85,0.82,33.68,53.28,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Crime, Law and Social Change",0.364,Q3,60,81,161,5832,341,157,2.19,72,49.7,2785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Anaesthesiology Clinical Pharmacology,0.364,Q3,48,148,510,2468,415,284,0.64,16.68,49.85,2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Psychiatria Danubina,0.364,Q3,52,137,1002,3992,939,947,0.69,29.14,59.37,2831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ultrasound International Open,0.364,Q3,20,7,30,126,50,28,1.67,18,57.78,2881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Reviews on Recent Clinical Trials,0.363,Q3,37,32,131,2429,177,121,1.02,75.91,32.69,2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blood Coagulation and Fibrinolysis,0.362,Q3,80,66,287,1524,335,266,1.16,23.09,48.83,2750,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Global Cardiology Science and Practice,0.362,Q3,27,40,86,1323,81,83,0.8,33.08,40.13,2699,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Biomedical Human Kinetics,0.361,Q3,12,36,100,1540,121,99,1.13,42.78,33.58,2579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Combinatorial Chemistry and High Throughput Screening,0.361,Q3,73,256,610,14785,1071,587,1.74,57.75,42.2,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Continence,0.361,Q3,5,86,93,2886,86,88,0.92,33.56,40.6,2759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Current Oral Health Reports,0.361,Q3,32,33,65,1829,95,65,1.44,55.42,53.78,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Current Otorhinolaryngology Reports,0.361,Q3,23,19,176,744,194,176,1.22,39.16,41.27,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Acta Virologica,0.36,Q3,38,16,117,945,97,112,0.73,59.06,46.08,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Hematology, Transfusion and Cell Therapy",0.36,Q3,33,239,334,5610,422,309,1.24,23.47,55.34,2776,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Journal of Atrial Fibrillation,0.36,Q3,26,0,95,0,63,85,0.07,0,0,2770,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Therapeutic Hypothermia and Temperature Management,0.36,Q2,19,59,105,1981,131,95,1.2,33.58,41.11,2764,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Case Reports in Immunology,0.359,Q4,7,7,33,171,42,33,1.58,24.43,44.44,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Egyptian Journal of Forensic Sciences,0.359,Q3,30,43,157,1565,243,155,1.42,36.4,42.69,2706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Journal of Military, Veteran and Family Health",0.359,Q3,15,103,185,3318,208,156,1.03,32.21,64.44,2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REACH,0.359,Q3,14,0,11,0,28,11,1,0,0,2821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annals of the Academy of Medicine Singapore,0.358,Q3,70,121,460,2759,340,232,0.73,22.8,40.26,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Central European Journal of Public Health,0.358,Q3,41,57,166,1624,188,163,0.97,28.49,53.53,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clinical and Experimental Vaccine Research,0.358,Q3,21,38,120,1808,154,109,1.25,47.58,42.26,2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Clinical Medicine and Research,0.358,Q3,64,28,88,743,125,83,1.25,26.54,47.73,2647,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Medical Regulation,0.358,Q3,13,6,79,183,46,48,0.47,30.5,75,2644,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncologie,0.358,Q3,13,101,175,5787,343,172,2.33,57.3,44.3,2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Science and Sports,0.358,Q3,32,93,347,2964,381,301,1.05,31.87,29.09,2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Communicable Diseases Intelligence,0.357,Q3,13,54,197,0,165,196,0.98,0,58.44,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
HeartRhythm Case Reports,0.357,Q3,22,265,669,2573,407,605,0.68,9.71,20.43,2778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acta Cardiologica,0.356,Q3,45,241,510,4310,559,409,1.21,17.88,30.91,2754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deutsche Zeitschrift fur Sportmedizin,0.356,Q3,23,37,112,1346,106,86,1,36.38,35.71,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Indian Journal of Tuberculosis,0.356,Q3,28,185,366,4645,351,320,0.89,25.11,41.64,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Physiology International,0.356,Q2,38,18,89,584,187,89,2.31,32.44,50.88,2775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vascular and Endovascular Surgery,0.356,Q3,56,156,437,2959,419,430,0.84,18.97,23.63,2822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Acta Dermatovenerologica Alpina, Pannonica et Adriatica",0.355,Q3,34,41,111,1091,121,104,0.97,26.61,58.21,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
International Journal of Health Care Quality Assurance,0.355,Q3,61,4,14,272,28,13,2.6,68,60,2804,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pediatric Endocrinology, Diabetes and Metabolism",0.355,Q3,19,33,134,1111,161,125,0.96,33.67,74.22,2660,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cardiology Research,0.354,Q3,13,45,167,1630,194,159,1.21,36.22,29.41,2910,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Current Hypertension Reviews,0.354,Q3,30,20,69,457,75,63,0.93,22.85,44.44,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
EJVES Vascular Forum,0.354,Q3,13,57,147,815,144,105,1.18,14.3,31.6,2663,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JACC: Case Reports,0.354,Q3,13,538,1203,3827,847,1014,0.64,7.11,28.71,2669,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JAMS Journal of Acupuncture and Meridian Studies,0.354,Q2,42,30,100,802,137,94,1.37,26.73,40.58,2666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicinski Glasnik,0.354,Q3,23,62,172,1933,223,171,1.28,31.18,45.68,2602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Progress in Palliative Care,0.354,Q3,23,36,91,1262,100,80,1.02,35.06,59.06,2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cardiology in the Young,0.353,Q3,68,473,1248,10325,1107,1220,0.78,21.83,45.64,2765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Echocardiography,0.353,Q3,74,281,708,7572,778,676,1,26.95,36.81,2805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicina Intensiva,0.353,Q2,41,149,467,2798,484,384,1.03,18.78,41.43,2737,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Physical Activity and Nutrition,0.353,Q3,9,36,89,1471,116,88,1.05,40.86,41.18,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Renal Replacement Therapy,0.353,Q3,22,77,195,2215,211,194,0.98,28.77,21.91,2785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Romanian Journal of Internal Medicine,0.353,Q3,29,43,98,0,122,96,0.85,0,49.15,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Delaware Journal of Public Health,0.352,Q3,9,59,254,900,200,153,0.92,15.25,69.91,2510,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Aerosol Medicine and Pulmonary Drug Delivery,0.352,Q3,86,36,114,2484,191,105,1.55,69,37.14,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Physics in Medicine,0.352,Q3,11,0,22,0,58,22,4.55,0,0,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Asian Natural Products Research,0.351,Q2,54,188,388,5935,684,365,1.57,31.57,41.31,2722,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Psoriasis and Psoriatic Arthritis,0.351,Q3,9,17,73,547,64,66,0.7,32.18,50.91,2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pediatric Hematology and Oncology,0.351,Q3,50,61,203,1733,220,163,1.03,28.41,51.27,2862,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Revista de Gastroenterologia de Mexico,0.351,Q3,27,106,258,2701,208,222,0.79,25.48,31.21,2636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Journal of Reproductive Health,0.35,Q3,51,252,498,7054,497,452,0.88,27.99,56.65,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gastroenterology Insights,0.35,Q3,12,75,124,5051,137,120,0.68,67.35,44.32,2660,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
